,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
242,Petta (Telugu) [Original Motion Picture Soundtrack],1,1Nh7gea2bnOt9i3HQI1JCB,"Massu Maranam - From ""Petta (Telugu)""",spotify:track:1Nh7gea2bnOt9i3HQI1JCB,0.415,0.468,0.866,2.15e-06,0.652,-5.857,0.384,83.787,0.732,44
243,Petta (Telugu) [Original Motion Picture Soundtrack],2,3WN6SWPafko5ljcr2xshkI,Petta Theme - Telugu,spotify:track:3WN6SWPafko5ljcr2xshkI,0.0158,0.675,0.775,0.882,0.0807,-4.141,0.0339,133.027,0.301,26
244,Petta (Telugu) [Original Motion Picture Soundtrack],3,5OerghkmXwFdPVFxYjckHk,Peydhavi Chivarakey,spotify:track:5OerghkmXwFdPVFxYjckHk,0.872,0.541,0.431,0.0,0.108,-8.984,0.0561,167.679,0.562,35
245,Petta (Telugu) [Original Motion Picture Soundtrack],4,1z8YCxj9MixtzjOawn8ROv,Vizag Petta,spotify:track:1z8YCxj9MixtzjOawn8ROv,0.182,0.53,0.944,0.95,0.0748,-4.423,0.164,87.813,0.858,19
246,Petta (Telugu) [Original Motion Picture Soundtrack],5,7isupIME5Sr6BgyG8TlDVT,Petta Paraak - Telugu,spotify:track:7isupIME5Sr6BgyG8TlDVT,0.00554,0.651,0.915,4.2e-06,0.0987,-6.476,0.0771,96.978,0.816,26
247,Petta (Telugu) [Original Motion Picture Soundtrack],6,35EwlXJIoy81Wx8rZ9xc8A,Simhaasalam Singh,spotify:track:35EwlXJIoy81Wx8rZ9xc8A,0.375,0.787,0.718,0.854,0.147,-7.426,0.178,80.012,0.157,19
248,Petta (Telugu) [Original Motion Picture Soundtrack],7,7494Bdx32XHqwVTF3vdzjr,Aaha Kalyanam - Telugu,spotify:track:7494Bdx32XHqwVTF3vdzjr,0.339,0.779,0.846,1.29e-06,0.0348,-3.715,0.157,146.942,0.931,18
249,Petta (Telugu) [Original Motion Picture Soundtrack],8,58JlIPWPjm6o4oKL1qONT7,Jithu Theme - Telugu,spotify:track:58JlIPWPjm6o4oKL1qONT7,0.0155,0.721,0.582,0.81,0.0838,-7.289,0.0461,96.976,0.357,15
250,Petta (Telugu) [Original Motion Picture Soundtrack],9,0aL09fbrXMMkMX9JYYmSjZ,Ullaalla - Telugu,spotify:track:0aL09fbrXMMkMX9JYYmSjZ,0.538,0.549,0.834,2.93e-05,0.0622,-4.033,0.37,99.776,0.644,23
251,Petta (Telugu) [Original Motion Picture Soundtrack],10,68FH2U7DnNQxFyOtfB6LUe,Kaali Theme - Telugu,spotify:track:68FH2U7DnNQxFyOtfB6LUe,0.133,0.753,0.857,0.405,0.456,-6.152,0.0686,112.522,0.746,19
252,Petta (Telugu) [Original Motion Picture Soundtrack],11,5btpZTecHEfyLbJMdz6zh2,"Thappad Maara - From ""Petta""",spotify:track:5btpZTecHEfyLbJMdz6zh2,0.274,0.681,0.739,8.34e-06,0.11,-7.803,0.22,88.018,0.932,14
253,Petta (Original Motion Picture Soundtrack),1,7j7fS14vlwVk0Pfnr0hovC,"Marana Mass - From ""Petta""",spotify:track:7j7fS14vlwVk0Pfnr0hovC,0.47,0.471,0.873,8.13e-05,0.146,-5.503,0.373,78.434,0.737,56
254,Petta (Original Motion Picture Soundtrack),2,5fyz50nzC0a96r7UAd2Y5f,"Petta Theme - From ""Petta""",spotify:track:5fyz50nzC0a96r7UAd2Y5f,0.0158,0.677,0.824,0.727,0.0867,-3.939,0.0367,133.017,0.334,45
255,Petta (Original Motion Picture Soundtrack),3,4IUGuoJ41g5fLIqsO1MJoU,"Ilamai Thirumbudhe - From ""Petta""",spotify:track:4IUGuoJ41g5fLIqsO1MJoU,0.719,0.395,0.425,0.0,0.175,-7.616,0.0625,167.863,0.457,53
256,Petta (Original Motion Picture Soundtrack),4,54fHwcpMX37DJPHEecWtie,"Madura Petta - From ""Petta""",spotify:track:54fHwcpMX37DJPHEecWtie,0.182,0.646,0.944,0.948,0.0748,-4.418,0.168,87.987,0.864,33
257,Petta (Original Motion Picture Soundtrack),5,3r00sgm8aoOg6RyWR4t8hr,"Petta Paraak - From ""Petta""",spotify:track:3r00sgm8aoOg6RyWR4t8hr,0.0196,0.655,0.971,5.61e-06,0.0724,-5.574,0.076,96.997,0.711,43
258,Petta (Original Motion Picture Soundtrack),6,3eeNqfTnLWZWB5OJeTPycn,"Singaar Singh Theme - From ""Petta""",spotify:track:3eeNqfTnLWZWB5OJeTPycn,0.374,0.788,0.72,0.824,0.144,-7.427,0.171,80.014,0.175,37
259,Petta (Original Motion Picture Soundtrack),7,6AkFPJaJN6pPCeVGbf23Lu,"Aaha Kalyanam - From ""Petta""",spotify:track:6AkFPJaJN6pPCeVGbf23Lu,0.216,0.79,0.87,3.51e-05,0.0287,-3.2,0.156,146.847,0.938,41
260,Petta (Original Motion Picture Soundtrack),8,7fz6eGLO6l7KCZnQtPvXuJ,"Jithu Theme - From ""Petta""",spotify:track:7fz6eGLO6l7KCZnQtPvXuJ,0.0154,0.721,0.581,0.829,0.084,-7.288,0.0463,96.976,0.358,31
261,Petta (Original Motion Picture Soundtrack),9,2LLZkWMReCWhgTrHuRh6dV,"Ullaallaa - From ""Petta""",spotify:track:2LLZkWMReCWhgTrHuRh6dV,0.403,0.536,0.814,1.08e-05,0.0501,-4.504,0.282,99.774,0.704,53
262,Petta (Original Motion Picture Soundtrack),10,61uPaVyWRi1HykhNR5Ldtw,"Kaali Theme - From ""Petta""",spotify:track:61uPaVyWRi1HykhNR5Ldtw,0.13,0.753,0.859,0.402,0.455,-6.135,0.0641,112.519,0.765,39
263,Petta (Original Motion Picture Soundtrack),11,2xgCGwiUEt8Z5AsWnwI5ba,"Thappad Maara - From ""Petta""",spotify:track:2xgCGwiUEt8Z5AsWnwI5ba,0.269,0.691,0.739,8.23e-06,0.102,-7.803,0.222,88.033,0.931,31
264,Bromance: Anirudh Ravichander & Sivakarthikeyan,1,6XBBucuO6AxPG7SCu4DiXe,"Karuthavanlaam Galeejaam (From ""Velaikkaran"")",spotify:track:6XBBucuO6AxPG7SCu4DiXe,0.209,0.67,0.94,0.0,0.346,-4.404,0.308,89.95,0.474,37
265,Bromance: Anirudh Ravichander & Sivakarthikeyan,2,3vyUBPsQk79JclLPUdu3p5,"Darling Dambakku (From ""Maan Karate"")",spotify:track:3vyUBPsQk79JclLPUdu3p5,0.341,0.736,0.942,9.42e-05,0.192,-4.46,0.185,120.157,0.944,14
266,Bromance: Anirudh Ravichander & Sivakarthikeyan,3,7b5bjFWOnVs18zSAb5GqHT,"Tamilselvi (From ""Remo"")",spotify:track:7b5bjFWOnVs18zSAb5GqHT,0.0798,0.696,0.931,5.89e-06,0.234,-4.089,0.0636,89.972,0.847,16
267,Bromance: Anirudh Ravichander & Sivakarthikeyan,4,7uJU7tEhOrmAS80goGcmGK,"Maanja (From ""Maan Karate"")",spotify:track:7uJU7tEhOrmAS80goGcmGK,0.447,0.684,0.75,4.15e-06,0.0919,-4.952,0.161,159.946,0.919,21
268,Bromance: Anirudh Ravichander & Sivakarthikeyan,5,3LJF3T6ZcrmBFLWFOLvaW3,"Senjitaley (From ""Remo"")",spotify:track:3LJF3T6ZcrmBFLWFOLvaW3,0.476,0.655,0.941,3.22e-06,0.215,-5.185,0.14,88.073,0.344,18
269,Bromance: Anirudh Ravichander & Sivakarthikeyan,6,1ifPGkfVkbSFUpWrWGZ19B,"Iraiva (From ""Velaikkaran"")",spotify:track:1ifPGkfVkbSFUpWrWGZ19B,0.198,0.571,0.729,0.0,0.103,-5.603,0.0481,140.062,0.378,25
270,Bromance: Anirudh Ravichander & Sivakarthikeyan,7,3oWdVmZSm0mNlD8Cn5X4BK,"Boomi Enna Suthudhe (From ""Ethir Neechal"")",spotify:track:3oWdVmZSm0mNlD8Cn5X4BK,0.415,0.347,0.584,0.0,0.145,-6.279,0.0495,79.813,0.777,32
271,Bromance: Anirudh Ravichander & Sivakarthikeyan,8,3ANdXA3fmb6fJB1yTUarm0,"Un Vizhigalil (From ""Maan Karate"")",spotify:track:3ANdXA3fmb6fJB1yTUarm0,0.379,0.502,0.625,0.0,0.198,-5.631,0.0309,80.217,0.442,20
272,Bromance: Anirudh Ravichander & Sivakarthikeyan,9,6twWhQ2lyIIcUvlCWXnLVR,"Velicha Poove (From ""Ethir Neechal"")",spotify:track:6twWhQ2lyIIcUvlCWXnLVR,0.444,0.526,0.701,2.74e-06,0.0883,-6.574,0.0552,79.744,0.683,19
273,Bromance: Anirudh Ravichander & Sivakarthikeyan,10,1pW6zMKlSSYM2tDEvUeI2S,"Ezhu Velaikkara (From ""Velaikkaran"")",spotify:track:1pW6zMKlSSYM2tDEvUeI2S,0.283,0.594,0.886,4.14e-05,0.0772,-5.404,0.101,120.016,0.382,15
274,Bromance: Anirudh Ravichander & Sivakarthikeyan,11,3KrKkY581OwameSpuutY6H,"Ethir Neechal (From ""Ethir Neechal"")",spotify:track:3KrKkY581OwameSpuutY6H,0.0556,0.752,0.97,1.21e-06,0.0999,-4.167,0.0943,119.97,0.537,43
275,Bromance: Anirudh Ravichander & Sivakarthikeyan,12,4eCWv5tMzDCubpNdCxv5It,"Remo Nee Kadhalan (From ""Remo"")",spotify:track:4eCWv5tMzDCubpNdCxv5It,0.121,0.676,0.93,7.41e-05,0.488,-5.145,0.0489,135.055,0.758,10
276,Mass Level : Anirudh Ravichander,1,4xrQvV9wS56AUDrCKkUP3U,"Thalai Viduthalai (From ""Vivegam"")",spotify:track:4xrQvV9wS56AUDrCKkUP3U,0.00145,0.371,0.934,9.2e-06,0.342,-4.202,0.115,103.558,0.598,14
277,Mass Level : Anirudh Ravichander,2,0J1bsJMzIKbxikmGnpIHMK,"Aaluma Doluma (From ""Vedalam"")",spotify:track:0J1bsJMzIKbxikmGnpIHMK,0.0764,0.544,0.917,1.15e-06,0.346,-5.853,0.201,160.672,0.638,19
278,Mass Level : Anirudh Ravichander,3,3zqHjFN4wHB7MLYdcMFdWB,"Maari Thara Local (From ""Maari"") - Here Comes Maari",spotify:track:3zqHjFN4wHB7MLYdcMFdWB,0.622,0.709,0.956,1.1e-06,0.0982,-4.695,0.255,94.945,0.664,42
279,Mass Level : Anirudh Ravichander,4,2eDq7bopcVDmcd5v2nNCwh,"Surviva (From ""Vivegam"") (feat. Yogi B & Mali)",spotify:track:2eDq7bopcVDmcd5v2nNCwh,0.137,0.608,0.919,0.000276,0.243,-7.203,0.0758,160.029,0.728,12
280,Mass Level : Anirudh Ravichander,5,4I8GaABhCmswKIWm4zyd5n,"Remo Nee Kadhalan (From ""Remo"")",spotify:track:4I8GaABhCmswKIWm4zyd5n,0.121,0.676,0.93,7.41e-05,0.488,-5.145,0.0489,135.055,0.758,10
281,Mass Level : Anirudh Ravichander,6,08MhVmbdGEibPERZVagSNF,"Bagulu Odayum Dagulu Mari (From ""Maari"") - The Return of Maari",spotify:track:08MhVmbdGEibPERZVagSNF,0.747,0.64,0.911,2.88e-05,0.142,-7.042,0.0857,89.993,0.707,27
282,Mass Level : Anirudh Ravichander,7,20WilMrcmaaHChKpcrUrq6,"Local Boys (From ""Ethir Neechal"")",spotify:track:20WilMrcmaaHChKpcrUrq6,0.0182,0.68,0.86,0.0,0.563,-4.061,0.0497,90.015,0.565,36
283,Mass Level : Anirudh Ravichander,8,3JVeIDHL6aTmndoKUBSM5Q,"Royapuram Peter (From ""Maan Karate"")",spotify:track:3JVeIDHL6aTmndoKUBSM5Q,0.606,0.398,0.942,0.0,0.344,-4.118,0.41,75.086,0.765,11
284,Mass Level : Anirudh Ravichander,9,11NwzVdccEHH42pmjg0QIx,"Why This Kolaveri Di? (From ""3"") - The Soup of Love",spotify:track:11NwzVdccEHH42pmjg0QIx,0.543,0.816,0.774,1.58e-05,0.394,-4.341,0.153,140.016,0.884,17
285,Mass Level : Anirudh Ravichander,10,4UVU3MOYHnvorBJAibbDBm,"Daavuya (From ""Remo"")",spotify:track:4UVU3MOYHnvorBJAibbDBm,0.311,0.579,0.835,4.47e-06,0.216,-4.436,0.193,124.083,0.437,8
